make,model,year,mileage,price,color,state,date
Nissan,Fusion,2016,35656,15820,black,CA,2023-09-30 23:02:01.648867
Ford,Altima,2010,72079,10539,silver,FL,2023-04-09 23:02:01.649616
Honda,Accord,2014,38851,10247,blue,CA,2023-09-16 23:02:01.649693
Ford,Accord,2018,20835,25712,white,IL,2023-11-03 23:02:01.649710
Ford,Accord,2015,57307,22564,silver,FL,2023-03-08 23:02:01.649313
Ford,Camry,2015,56036,41239,red,CA,2023-11-20 23:02:01.649010
Toyota,Fusion,2017,55039,21604,black,NY,2023-06-27 23:02:01.649403
Nissan,Fusion,2010,11982,37310,silver,NY,2023-10-20 23:02:01.648778
Ford,Altima,2011,29008,30488,black,FL,2023-11-02 23:02:01.649048
Ford,Fusion,2011,43104,18993,black,CA,2023-07-27 23:02:01.649171
Ford,Altima,2018,86239,22701,blue,FL,2023-03-13 23:02:01.649724
Chevrolet,Cruze,2011,39503,21989,silver,IL,2023-04-06 23:02:01.649255
Nissan,Cruze,2010,16407,46581,silver,NY,2023-04-02 23:02:01.648901
Nissan,Accord,2018,67273,28814,blue,IL,2023-11-04 23:02:01.649527
Chevrolet,Cruze,2010,99313,31827,black,CA,2023-08-13 23:02:01.650171
Ford,Cruze,2015,71186,29725,black,NY,2023-04-21 23:02:01.648477
Chevrolet,Accord,2011,60630,18043,blue,CA,2023-09-23 23:02:01.649412
Chevrolet,Altima,2013,58420,28036,blue,NY,2023-08-05 23:02:01.650056
Nissan,Camry,2018,43681,40150,silver,TX,2023-07-06 23:02:01.648506
Chevrolet,Fusion,2013,49065,36333,blue,TX,2023-11-10 23:02:01.648707
Toyota,Fusion,2013,49171,32389,silver,IL,2023-10-08 23:02:01.650001
Honda,Cruze,2015,84211,32808,red,IL,2023-07-23 23:02:01.648863
Nissan,Camry,2011,40408,11022,silver,NY,2023-12-28 23:02:01.649506
Toyota,Cruze,2012,91205,40255,blue,IL,2023-12-23 23:02:01.649251
Honda,Altima,2013,80760,29121,red,IL,2023-06-12 23:02:01.650084
Ford,Accord,2016,77463,12786,red,CA,2023-12-08 23:02:01.650040
Toyota,Altima,2018,10524,12529,silver,NY,2024-01-03 23:02:01.650110
Chevrolet,Fusion,2010,75831,38346,silver,FL,2023-10-23 23:02:01.648853
Nissan,Altima,2015,71480,19878,red,CA,2023-10-22 23:02:01.649425
Honda,Camry,2010,18030,32184,white,FL,2023-05-03 23:02:01.649919
Ford,Altima,2010,57712,40595,white,NY,2023-04-03 23:02:01.648980
Chevrolet,Altima,2018,79387,17762,red,IL,2023-08-27 23:02:01.649568
Chevrolet,Accord,2015,34463,14014,silver,TX,2023-04-13 23:02:01.649482
Toyota,Accord,2012,43638,47241,silver,TX,2024-01-16 23:02:01.650087
Ford,Cruze,2013,83531,36058,red,FL,2023-06-21 23:02:01.648991
Nissan,Accord,2013,79645,27302,white,IL,2023-03-17 23:02:01.649005
Toyota,Altima,2018,44032,22669,red,NY,2023-06-06 23:02:01.649424
Nissan,Accord,2011,15912,38450,blue,FL,2023-08-02 23:02:01.648866
Nissan,Cruze,2010,80620,48811,silver,FL,2024-02-18 23:02:01.650126
Nissan,Camry,2012,40801,47770,black,NY,2023-07-29 23:02:01.649490
Honda,Cruze,2017,89704,40498,red,TX,2023-08-10 23:02:01.649356
Toyota,Altima,2015,10303,25373,red,TX,2023-03-27 23:02:01.648480
Toyota,Camry,2016,92396,16615,silver,IL,2023-07-28 23:02:01.649046
Chevrolet,Accord,2016,51501,10243,blue,IL,2023-06-15 23:02:01.649301
Nissan,Accord,2016,57259,22826,red,CA,2023-03-14 23:02:01.648973
Ford,Fusion,2014,60439,42147,white,CA,2023-11-10 23:02:01.648487
Nissan,Cruze,2018,47336,11769,black,TX,2023-07-12 23:02:01.649873
Ford,Altima,2015,89447,22548,silver,CA,2023-11-18 23:02:01.649212
Nissan,Fusion,2010,66163,36421,white,IL,2023-04-18 23:02:01.649740
Honda,Accord,2013,37644,10692,black,FL,2023-11-28 23:02:01.648952
Nissan,Camry,2015,30860,20084,blue,NY,2023-08-01 23:02:01.649680
Nissan,Altima,2016,67334,12486,blue,CA,2023-10-21 23:02:01.648920
Chevrolet,Altima,2014,84439,42702,silver,IL,2023-11-18 23:02:01.650161
Nissan,Altima,2010,91489,22121,blue,NY,2023-09-03 23:02:01.648658
Honda,Fusion,2013,32028,19385,white,CA,2023-09-11 23:02:01.648475
Nissan,Fusion,2010,51267,39099,white,CA,2023-03-16 23:02:01.650069
Ford,Fusion,2014,60439,42147,white,CA,2023-11-10 23:02:01.648487
Honda,Camry,2010,49124,35758,red,CA,2023-11-17 23:02:01.649530
Toyota,Accord,2010,27932,16432,black,NY,2023-09-05 23:02:01.649352
Chevrolet,Camry,2010,35552,33378,silver,TX,2023-12-08 23:02:01.649428
Toyota,Accord,2016,78195,20105,white,CA,2023-06-23 23:02:01.648756
Toyota,Cruze,2017,53073,37143,blue,CA,2023-12-23 23:02:01.650115
Toyota,Fusion,2010,42753,20233,black,FL,2023-10-25 23:02:01.648551
Toyota,Cruze,2013,97228,14953,blue,NY,2023-09-28 23:02:01.648623
Nissan,Camry,2013,14718,27729,blue,FL,2023-06-04 23:02:01.648970
Toyota,Cruze,2018,55906,27032,red,TX,2023-07-14 23:02:01.648754
Toyota,Fusion,2014,34917,40133,black,FL,2023-11-11 23:02:01.649728
Toyota,Fusion,2014,34917,40133,black,FL,2023-11-11 23:02:01.649728
Nissan,Camry,2016,15389,25824,white,IL,2023-06-01 23:02:01.648825
Honda,Cruze,2017,19474,26400,blue,NY,2023-05-08 23:02:01.649967
Chevrolet,Camry,2017,96608,16855,red,NY,2023-06-28 23:02:01.648983
Honda,Fusion,2016,55635,15289,silver,CA,2023-12-15 23:02:01.649841
Toyota,Camry,2013,11254,38759,blue,CA,2023-03-30 23:02:01.649393
Honda,Cruze,2012,61842,33361,red,TX,2024-02-17 23:02:01.649998
Nissan,Accord,2016,47031,29601,red,FL,2023-06-02 23:02:01.650051
Nissan,Camry,2012,45104,38794,white,TX,2024-01-27 23:02:01.648740
Chevrolet,Accord,2018,83609,48807,blue,FL,2023-09-24 23:02:01.650123
Chevrolet,Accord,2018,55787,12249,silver,NY,2023-07-15 23:02:01.649622
Chevrolet,Cruze,2011,19845,31425,silver,NY,2023-03-16 23:02:01.649401
Nissan,Altima,2013,89404,20034,silver,FL,2023-05-22 23:02:01.648454
Toyota,Altima,2017,34037,32689,white,NY,2023-12-10 23:02:01.648510
Honda,Cruze,2018,54761,29466,red,FL,2024-02-12 23:02:01.650092
Nissan,Fusion,2012,81296,29894,red,FL,2023-12-31 23:02:01.649041
Toyota,Camry,2017,81830,25514,black,TX,2023-03-17 23:02:01.649935
Chevrolet,Fusion,2013,62536,40359,blue,IL,2023-08-30 23:02:01.649942
Nissan,Altima,2013,88353,32534,red,NY,2023-05-02 23:02:01.648686
Ford,Accord,2018,96879,47473,silver,TX,2023-09-09 23:02:01.648954
Ford,Camry,2012,39212,25049,white,TX,2023-10-15 23:02:01.648430
Toyota,Cruze,2017,19882,34176,red,IL,2023-08-08 23:02:01.648413
Chevrolet,Cruze,2018,75198,17882,white,FL,2023-09-06 23:02:01.649756
Chevrolet,Accord,2011,65871,13308,red,TX,2023-11-01 23:02:01.649168
Chevrolet,Fusion,2013,63568,27394,red,NY,2023-09-08 23:02:01.650076
Honda,Altima,2011,66092,40552,silver,TX,2023-11-28 23:02:01.648845
Honda,Altima,2014,78020,24800,silver,TX,2023-10-01 23:02:01.648514
Chevrolet,Fusion,2011,96291,14162,white,CA,2023-06-29 23:02:01.648701
Nissan,Altima,2016,71109,27649,blue,TX,2023-12-21 23:02:01.649821
Ford,Camry,2014,79015,24020,blue,CA,2023-08-17 23:02:01.648757
Honda,Cruze,2014,33493,11921,silver,NY,2023-11-26 23:02:01.649883
Toyota,Cruze,2017,84102,35908,black,FL,2023-02-20 23:02:01.649343
Nissan,Camry,2016,15389,25824,white,IL,2023-06-01 23:02:01.648825
Toyota,Fusion,2016,82377,44532,silver,TX,2023-12-17 23:02:01.649746
Chevrolet,Cruze,2015,21945,22364,black,CA,2023-05-31 23:02:01.648453
Nissan,Camry,2012,57277,44466,black,FL,2023-11-28 23:02:01.650012
Nissan,Altima,2013,33127,26736,white,FL,2023-11-01 23:02:01.648577
Chevrolet,Cruze,2015,43842,17690,blue,IL,2023-10-22 23:02:01.649912
Honda,Camry,2018,23531,13192,white,IL,2023-04-11 23:02:01.648718
Chevrolet,Cruze,2018,54648,41086,white,TX,2023-03-07 23:02:01.649943
Honda,Accord,2013,27268,29146,silver,NY,2023-06-14 23:02:01.649924
Toyota,Altima,2015,13954,14794,silver,TX,2024-02-06 23:02:01.648650
Ford,Camry,2015,56036,41239,red,CA,2023-11-20 23:02:01.649010
Chevrolet,Altima,2014,44170,24502,red,NY,2023-06-02 23:02:01.649323
Toyota,Fusion,2010,84786,40159,black,NY,2024-01-16 23:02:01.649712
Nissan,Fusion,2012,83613,43492,silver,TX,2023-04-25 23:02:01.648425
Toyota,Altima,2015,13954,14794,silver,TX,2024-02-06 23:02:01.648650
Chevrolet,Altima,2017,31998,24529,white,FL,2023-09-27 23:02:01.649657
Ford,Camry,2012,81956,43827,white,FL,2023-08-03 23:02:01.648503
Nissan,Camry,2011,40408,11022,silver,NY,2023-12-28 23:02:01.649506
Toyota,Cruze,2014,50685,14998,white,TX,2023-12-21 23:02:01.649748
Chevrolet,Cruze,2015,44669,31552,blue,IL,2024-02-12 23:02:01.649016
Toyota,Altima,2010,47125,17037,silver,FL,2023-10-17 23:02:01.648540
Chevrolet,Fusion,2011,94457,22210,white,TX,2023-09-13 23:02:01.648800
Chevrolet,Fusion,2011,94457,22210,white,TX,2023-09-13 23:02:01.648800
Honda,Cruze,2018,54761,29466,red,FL,2024-02-12 23:02:01.650092
Ford,Cruze,2013,88519,44143,silver,IL,2023-05-24 23:02:01.650122
Ford,Altima,2010,87052,37013,black,FL,2023-11-18 23:02:01.649026
